ax,ay,az,gx,gy,gz
0.047607,-0.052246,1.117310,-6.068702,0.770992,16.091603
0.043579,-0.061890,1.112183,-6.908397,1.931298,18.977099
0.109619,-0.073608,1.124756,-7.061069,1.015267,17.053435
0.084961,-0.086792,1.127075,-7.992366,0.213740,13.229008
0.067261,-0.099243,1.162354,-7.809160,-1.000000,12.816794
0.077759,-0.098267,1.160034,-5.572519,-0.229008,12.725191
0.076294,-0.089722,1.153076,-4.129771,0.572519,12.160305
0.068237,-0.078247,1.137695,-2.366412,0.496183,12.618321
0.082642,-0.061279,1.100586,-2.854962,-0.068702,12.167939
0.076782,-0.069214,1.117432,-10.801527,-3.297710,-9.564885
0.082397,-0.070190,1.124146,-9.885496,-1.106870,-8.290076
0.095459,-0.061890,1.103149,-8.312977,-1.580153,-8.236641
0.094238,-0.044312,1.061646,-9.312977,0.175573,-8.832061
0.094116,-0.040405,1.036743,-12.290076,-1.106870,-9.328244
0.080322,-0.065552,1.114502,-15.862595,-0.137405,-9.961832
0.073853,-0.076416,1.155029,-13.335878,-0.374046,-10.503817
0.045532,-0.063599,1.137207,-10.648855,2.374046,-9.160305
0.049072,-0.039185,1.108643,-9.641221,2.480916,-5.954198
0.077637,-0.049072,1.095093,-12.213740,1.076336,-5.496183
0.090210,-0.094604,1.162109,-15.511450,-3.404580,-7.847328
0.083008,-0.126587,1.249146,-13.801527,-4.213740,-10.549618
0.083130,-0.119019,1.229614,-6.389313,-3.893130,-10.916031
0.041748,-0.088013,1.137939,-1.229008,0.969466,-6.687023
0.114502,-0.082886,1.086914,-3.717557,-0.763359,-5.030534
0.123657,-0.093628,1.101440,-7.251908,-3.557252,-10.213740
0.084351,-0.109253,1.134033,-8.648855,-4.137405,-13.259542
0.065186,-0.107422,1.140503,-5.977099,-3.251908,-11.687023
0.078369,-0.088989,1.110962,-3.290076,-0.274809,-9.656489
0.082642,-0.075195,1.061768,-3.992366,-1.320611,-9.381679
0.090088,-0.084839,1.064697,-8.679389,-3.648855,-10.839695
0.068237,-0.102295,1.115601,-10.244275,-1.213740,-12.687023
