ax,ay,az,gx,gy,gz
0.2540283203125,0.0611572265625,1.08544921875,-6.557251908396947,-1.0305343511450382,-3.4427480916030535
0.2510986328125,0.05322265625,1.099365234375,-7.091603053435114,-0.8244274809160306,-4.068702290076335
0.240234375,0.0477294921875,1.112060546875,-6.038167938931298,-1.7938931297709924,-4.595419847328245
0.242919921875,0.0537109375,1.1053466796875,-4.6106870229007635,-2.236641221374046,-4.305343511450381
0.247802734375,0.0615234375,1.0888671875,-4.770992366412214,-1.8931297709923665,-3.9160305343511452
0.246826171875,0.0611572265625,1.091064453125,-5.625954198473282,-1.5572519083969465,-3.885496183206107
0.246826171875,0.059814453125,1.092041015625,-5.4961832061068705,-1.4274809160305344,-4.213740458015267
0.243896484375,0.057861328125,1.0887451171875,-5.282442748091603,-1.83206106870229,-4.961832061068702
0.238037109375,0.0667724609375,1.0826416015625,-5.564885496183206,-2.2519083969465647,-4.465648854961832
0.24462890625,0.0640869140625,1.0870361328125,-6.305343511450381,-1.4885496183206106,-3.33587786259542
0.2508544921875,0.056884765625,1.0989990234375,-6.603053435114504,-0.6946564885496184,-3.282442748091603
0.2427978515625,0.0518798828125,1.10107421875,-5.969465648854962,-1.450381679389313,-3.5801526717557253
0.239990234375,0.058349609375,1.09912109375,-5.1603053435114505,-1.8931297709923665,-3.2748091603053435
0.2523193359375,0.067626953125,1.0936279296875,-5.0,-2.0229007633587788,-3.3053435114503817
0.2529296875,0.0694580078125,1.08642578125,-5.625954198473282,-1.5877862595419847,-3.946564885496183
0.2430419921875,0.066650390625,1.090087890625,-5.931297709923665,-1.6641221374045803,-4.358778625954199
0.2413330078125,0.0657958984375,1.082275390625,-5.900763358778626,-2.3053435114503817,-4.297709923664122
0.25439453125,0.066162109375,1.08642578125,-6.641221374045801,-2.6412213740458017,-4.511450381679389
0.2591552734375,0.06640625,1.102294921875,-6.961832061068702,-2.5267175572519083,-5.259541984732825
0.25244140625,0.0596923828125,1.111083984375,-6.32824427480916,-1.9312977099236641,-5.687022900763359
0.2442626953125,0.0655517578125,1.09912109375,-4.801526717557252,-2.1755725190839694,-5.450381679389313
0.2459716796875,0.06787109375,1.0672607421875,-5.282442748091603,-2.0839694656488548,-5.068702290076335
0.256591796875,0.06689453125,1.078857421875,-7.0534351145038165,-2.030534351145038,-5.450381679389313
0.247802734375,0.056396484375,1.110595703125,-7.244274809160306,-1.213740458015267,-5.4961832061068705
0.2427978515625,0.05859375,1.108154296875,-5.229007633587786,-1.5801526717557253,-5.0534351145038165
0.2491455078125,0.0670166015625,1.0860595703125,-4.801526717557252,-2.2595419847328246,-5.091603053435114
0.2576904296875,0.0703125,1.079345703125,-6.351145038167939,-2.282442748091603,-5.9465648854961835
0.2650146484375,0.0635986328125,1.10107421875,-7.458015267175573,-2.6946564885496183,-7.282442748091603
0.24462890625,0.0521240234375,1.10546875,-6.938931297709924,-2.984732824427481,-7.557251908396947
0.2374267578125,0.044189453125,1.114501953125,-5.847328244274809,-2.435114503816794,-6.572519083969466
0.2442626953125,0.052734375,1.1201171875,-3.931297709923664,-2.145038167938931,-5.793893129770993
0.248046875,0.0697021484375,1.0875244140625,-2.969465648854962,-2.7786259541984735,-6.419847328244275
0.2469482421875,0.0697021484375,1.0740966796875,-4.6183206106870225,-2.9160305343511452,-7.3816793893129775
0.2340087890625,0.062255859375,1.088134765625,-5.900763358778626,-2.7480916030534353,-7.755725190839694
0.224609375,0.0582275390625,1.1011962890625,-5.488549618320611,-2.4656488549618323,-6.343511450381679
0.23046875,0.0616455078125,1.092041015625,-5.022900763358779,-1.1297709923664123,-4.488549618320611
0.2486572265625,0.06494140625,1.0904541015625,-5.2748091603053435,-1.3129770992366412,-4.931297709923665
0.2425537109375,0.0693359375,1.0811767578125,-5.67175572519084,-1.8625954198473282,-6.435114503816794
0.22900390625,0.0633544921875,1.085205078125,-6.603053435114504,-2.351145038167939,-7.083969465648855
0.2193603515625,0.060302734375,1.0936279296875,-6.564885496183206,-2.7709923664122136,-6.488549618320611
0.2276611328125,0.06591796875,1.0953369140625,-5.740458015267175,-2.198473282442748,-4.931297709923665
0.24267578125,0.0699462890625,1.0787353515625,-6.0,-0.9083969465648855,-3.7709923664122136
0.253173828125,0.06787109375,1.0897216796875,-7.1603053435114505,-1.0076335877862594,-4.473282442748092
0.25048828125,0.0635986328125,1.10302734375,-6.648854961832061,-1.381679389312977,-5.748091603053435
0.24267578125,0.06591796875,1.0943603515625,-6.030534351145038,-1.3053435114503817,-6.137404580152672
0.24658203125,0.0738525390625,1.0809326171875,-5.770992366412214,-1.9694656488549618,-6.251908396946565
0.2607421875,0.0762939453125,1.0694580078125,-7.022900763358779,-1.8244274809160306,-6.404580152671755
0.271240234375,0.0726318359375,1.0823974609375,-8.396946564885496,-0.1297709923664122,-6.7251908396946565
0.2681884765625,0.0628662109375,1.10205078125,-8.213740458015268,0.6259541984732825,-7.732824427480916
0.256103515625,0.0609130859375,1.09765625,-7.038167938931298,-0.5648854961832062,-9.045801526717558
0.2554931640625,0.0653076171875,1.0791015625,-6.374045801526718,-1.6870229007633588,-10.076335877862595
0.2564697265625,0.07080078125,1.0716552734375,-7.557251908396947,-1.2290076335877862,-10.32824427480916
0.2490234375,0.0643310546875,1.0872802734375,-9.15267175572519,-0.5877862595419847,-10.320610687022901
0.260009765625,0.0621337890625,1.098876953125,-8.86259541984733,-0.5648854961832062,-10.412213740458014
